timestamp_us,local_timestamp_us,exchange,market_id,slug,asset_id,outcome,bid_price,bid_size,ask_price,ask_size
1772321470565000,1772321470584891,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1039.55,0.5,547.85
1772321470598000,1772321470661980,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1019.55,0.5,547.85
1772321472403000,1772321472419456,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1019.55,0.5,527.85
1772321475771000,1772321475784154,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,1019.55,0.5,507.85
1772321658458000,1772321658472280,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,999.55,0.5,507.85
1772321658460000,1772321658472333,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,979.55,0.5,507.85
1772321898216000,1772321898229083,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,979.55,0.5,487.85
1772321898224000,1772321898238046,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,979.55,0.5,467.85
1772322187154000,1772322187163408,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,984.55,0.5,467.85
1772322241003000,1772322241021301,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,954.55,0.5,467.85
1772322283840000,1772322283850938,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,934.55,0.5,467.85
1772322302713000,1772322302722315,polymarket,0x62c3a01373b62d830717d5fedf3289662ea3971f3b1a6ab7c6aeef019b92debd,btc-updown-5m-1772323200,81715960876792788422527758885904722229420166075410575388978430362938033123768,Down,0.49,964.55,0.5,467.85
